en,sources
"Andrew Yang does not actually want to live in New York City, he fled the city during the coronavirus pandemic. He was caught on video saying he’s been “trying to escape New York for a while”.","https://www.nytimes.com/2021/01/11/nyregion/andrew-yang-manhattan-apartment-new-york.html
https://nypost.com/2021/02/03/andrew-yang-ive-been-trying-to-escape-new-york-for-a-while/"
"Yang’s campaign is being run by republican campaign operatives with a history of working for the Police Benevolent Association, a racist NYPD union aligned with Donald Trump.",https://www.cityandstateny.com/articles/politics/new-york-city/andrew-yangs-mayoral-campaign-being-run-lobbying-firm.html
"Andrew Yang laughed at a “joke” about choking women, and his campaigns have a history of being a hostile & toxic workplace for women. He’s also been accused of firing a woman because she got married.","https://www.politico.com/states/new-york/albany/story/2021/04/15/yang-under-fire-after-laughing-at-question-about-choking-women-1375023
https://www.businessinsider.com/former-staffers-say-they-experienced-sexism-hostility-yangs-presidential-campaign-2021-1
https://medium.com/@kimberlyrwatkins/fired-for-getting-married-bae2cce9f968"
Andrew Yang has never voted for a New York City mayoral candidate in his entire life.,https://www.cityandstateny.com/articles/politics/campaign-confidential/kathryn-garcia-doesnt-really-do-politics.html
"Andrew Yang told a group of big business leaders behind closed doors he would not raise their taxes, and would instead consider giving them a lucrative tax break.",https://www.politico.com/states/new-york/albany/story/2021/04/01/yang-cautions-against-taxing-the-rich-in-front-of-pro-business-group-1371337
Andrew Yang chose to use people standing in line for food banks as props for his campaign video.,https://twitter.com/juliacarmel__/status/1350990496785641476
"Andrew Yang made offensive, pandering and tone-deaf remarks to the Stonewall Democrats of NYC.",https://www.nytimes.com/2021/04/22/nyregion/andrew-yang-gays-stonewall.html
Andrew Yang ditched a forum with the Muslim Democratic Club of New York to instead record a podcast episode with a prolific islamaphobe.,https://www.nydailynews.com/news/politics/new-york-elections-government/ny-nyc-mayoral-race-andrew-yang-sam-harris-muslim-forum-20210217-oydxc2qgdfaizcx77fjmknxoca-story.html
Andrew Yang believes one of the top issues facing our city is the NYPD not being harsh enough in enforcing the rules against street vendors.,https://www.politico.com/news/2021/04/15/yang-street-vendors-tweet-482019
Andrew Yang is so in touch with our city that he believes that scaffolding is a key issue that New Yorkers are concerned about.,https://www.amny.com/news/137531281/
"Andrew Yang is proposing that the city spend zero dollars to repair existing New York City public housing, which have been in great disrepair and need urgent attention.",https://twitter.com/TweetBenMax/status/1357710267421982720
Andrew Yang is proposing the city creates “TikTok hype houses”.,https://www.insider.com/andrew-yang-mayor-campaign-new-york-city-nyc-tiktok-collab-hype-house
Andrew Yang’s campaign attempted to rip off Representative Alexandria Ocasio-Cortez’s Green New Deal for Public Housing.,https://twitter.com/AOC/status/1357713804373745667
Andrew Yang wants to accelerate climate change by making NYC the “hub” of energy intensive cryptocurrencies.,https://twitter.com/AndrewYang/status/1359992211186843649
Andrew Yang lobbied a well-known union-buster with a history of taking advantage of New York tax subsidies to build vehicles for the city under his administration.,https://twitter.com/AndrewYang/status/1363482772917137413
Andrew Yang does not believe all children in New York City should have a secular education.,https://twitter.com/rweingarten/status/1363127670113005568
"Andrew Yang proposed an absolutely absurd idea of putting a casino on governors island, which would replace the planned development on the island of a mixed-use campus that would provide educational, commercial and hospitality offerings centered on the theme of climate change and sustainability.",https://www.politico.com/states/new-york/albany/story/2021/01/19/yang-proposes-casino-on-governors-island-to-boost-city-budget-1358239
Andrew Yang once suggested that soldiers in the United States military should inject themselves with the coronavirus to “maintain readiness”.,https://twitter.com/AndrewYang/status/1246966013771554817
Andrew Yang spoke out against abortions during the 2020 election.,https://twitter.com/Biaggi4NY/status/1380894778687098887
"Andrew Yang told the current mayor of New York to not spend federal aid dollars allocated to the city, so that he could instead spend the money if he were to become mayor.",https://www.nydailynews.com/news/politics/nyc-elections-2021/ny-nyc-mayoral-candidate-maya-wiley-andrew-yang-bill-de-blasio-20210330-3xu6j5f2srgt5l4nrtazztu23m-story.html
"Andrew Yang’s campaign asked its volunteers to sign non-disclosure agreements, even though he signed a pledge last year to end the use of NDA’s in politics. ",https://www.nydailynews.com/news/politics/new-york-elections-government/ny-nyc-mayoral-race-andrew-yang-nda-20210129-4estyk5l45gbji6oqquupzrdwm-story.html
He has literally no idea what a bodega is.,https://twitter.com/AndrewYang/status/1350079442488590337
